Pixel Index,ANOVA Score,p-value,Status,Rank
267,17.277719317181184,8.649549279745029e-20,Eliminated,331.0
263,17.26801642150931,8.888049969251929e-20,Eliminated,332.0
2074,17.265276793819847,8.956573572143831e-20,Eliminated,333.0
264,17.26347474600954,9.001934137681403e-20,Eliminated,334.0
693,17.21082626596236,1.0433562314188034e-19,Eliminated,335.0
265,17.198740953918648,1.079308452320537e-19,Eliminated,336.0
1616,17.178157643605335,1.1434152520374587e-19,Eliminated,337.0
361,17.1767107560926,1.1480622322369672e-19,Eliminated,338.0
2276,17.152328936860922,1.2292713838238868e-19,Eliminated,339.0
314,17.127600110424154,1.3175045365856366e-19,Eliminated,340.0
1378,17.119922120303926,1.3461673421749185e-19,Eliminated,341.0
1068,17.1091648978029,1.3873769165819142e-19,Eliminated,342.0
1786,17.108218431211025,1.3910625251105963e-19,Eliminated,343.0
457,17.084260621494796,1.4876871425473604e-19,Eliminated,344.0
1567,17.054547074949635,1.6168982839303743e-19,Eliminated,345.0
1930,17.050989855519646,1.6331006566016986e-19,Eliminated,346.0
1376,17.04481800481551,1.6615981940351115e-19,Eliminated,347.0
0,17.03548479964637,1.7056399686370694e-19,Eliminated,348.0
1664,17.030241714396936,1.7308911871417881e-19,Eliminated,349.0
1234,17.028986172867487,1.7369932590292788e-19,Eliminated,350.0
1079,17.01163265112514,1.8235697982316412e-19,Eliminated,351.0
1176,17.00594754990689,1.852860632235345e-19,Eliminated,352.0
2243,16.995042494633967,1.9103687082694258e-19,Eliminated,353.0
1284,16.968353034383956,2.0587575099214596e-19,Eliminated,354.0
261,16.90338400046052,2.4699435638015857e-19,Eliminated,355.0
842,16.900563198041564,2.489547980686165e-19,Eliminated,356.0
1713,16.839668277432278,2.952840623835759e-19,Eliminated,357.0
1327,16.829368231611948,3.0393213386876424e-19,Eliminated,358.0
1235,16.826339014147187,3.065233677452187e-19,Eliminated,359.0
1331,16.769562843933656,3.5939040867539946e-19,Eliminated,360.0
507,16.767247561515898,3.6172987667450054e-19,Eliminated,361.0
1377,16.737946690533697,3.9268622222153155e-19,Eliminated,362.0
2275,16.713810252323302,4.2016599808706625e-19,Eliminated,363.0
778,16.693663624844945,4.445698029292842e-19,Eliminated,364.0
409,16.688382403126337,4.511981480566316e-19,Eliminated,365.0
308,16.66192013387813,4.859281163102124e-19,Eliminated,366.0
1379,16.65090448310637,5.011617886635384e-19,Eliminated,367.0
1326,16.61181373254206,5.591779992898001e-19,Eliminated,368.0
1172,16.604619860692033,5.705643407213329e-19,Eliminated,369.0
777,16.60263803581623,5.737416658695252e-19,Eliminated,370.0
1074,16.596833589851162,5.831496772238852e-19,Eliminated,371.0
404,16.585489426144857,6.019841995752556e-19,Eliminated,372.0
741,16.56735653150729,6.333609905313733e-19,Eliminated,373.0
1834,16.54085428814008,6.821844006218972e-19,Eliminated,374.0
969,16.53812833707179,6.874149076464137e-19,Eliminated,375.0
555,16.525028419815314,7.131155539225204e-19,Eliminated,376.0
699,16.505195961209555,7.538643884283867e-19,Eliminated,377.0
1615,16.499050961766002,7.66956540427044e-19,Eliminated,378.0
